NAME,SURNAME,EMAIL_ID,MARKS,PREF1,PREF2,PREF3,ALLOTMENT,PSWD,GENDER
Devansh,Apte,devansh.16@gmail.com,145,3,2,0,Electronics,p,M
Priyanka,Sihna,priyanka.71@gmail.com,120,0,0,3,Electronics,p,F
Palak,Naik,palak.45@gmail.com,154,0,0,3,Computer,p,F
Anatara,Saxena,anatara.47@gmail.com,153,1,1,1,IT,p,F
Tanuja,Kapoor,tanuja.30@gmail.com,123,0,0,1,-,p,F
Krisha,Saha,krisha.91@gmail.com,167,1,3,2,IT,p,F
Kiran,Garg,kiran.41@gmail.com,134,0,1,2,-,p,M
Swikruti,Rana,swikruti.66@gmail.com,189,0,3,0,Computer,p,F
Darshit,Shukla,darshit.17@gmail.com,175,0,2,3,Computer,p,M
Sudhir,Modi,sudhir.29@gmail.com,148,0,2,3,Mechanical,p,M
Eshan,Singh,eshan.75@gmail.com,174,2,1,1,Mechanical,p,M
Kritika,Jain,kritika.11@gmail.com,147,1,0,1,IT,p,F
Shravani,Deshpande,shravani.13@gmail.com,142,0,1,1,-,p,F
Tejaswini,Radhakrishnan,tejaswini.29@gmail.com,181,0,3,0,Computer,p,F
Aryaa,Pandit,aryaa.51@gmail.com,139,0,2,1,Mechanical,p,F
Gargi,Chaudhry,gargi.39@gmail.com,142,3,3,2,Electronics,p,F
Ranjit,Dev,ranjit.14@gmail.com,198,0,1,3,Computer,p,M
Divya,Mukherjee,divya.35@gmail.com,188,0,0,2,Computer,p,F
Gauransh,Sahoo,gauransh.85@gmail.com,198,2,3,0,Mechanical,p,M
Rohan,Mahajani,rohan.94@gmail.com,140,1,2,1,Mechanical,p,M
Kavya,Ambedkar,kavya.63@gmail.com,180,2,2,3,Mechanical,p,F
Aishwarya,Satta,aishwarya.34@gmail.com,130,0,1,3,Electronics,p,F
Sejal,Gavaskar,sejal.94@gmail.com,98,1,1,2,-,p,F
Chhaya,Gawli,chhaya.40@gmail.com,109,0,2,2,-,p,F
Vinita,Kamble,vinita.62@gmail.com,166,0,2,3,Computer,p,F
Aashay,Pathan,aashay.92@gmail.com,141,0,0,2,Mechanical,p,M
Sonali,Kolhe,sonali.47@gmail.com,142,1,2,3,Mechanical,p,F
Kunal,Naik,kunal.69@gmail.com,156,3,1,1,Electronics,p,M
Tanuja,Mali,tanuja.64@gmail.com,128,0,2,2,-,p,F
Shirish,Mangeshkar,shirish.26@gmail.com,157,0,1,2,Computer,p,M
Anay,Pujari,anay.17@gmail.com,144,2,0,3,Mechanical,p,M
Latika,Shahane,latika.94@gmail.com,160,0,1,3,Computer,p,F
Vivaan,Shah,vivaan.57@gmail.com,112,0,2,3,Electronics,p,M
Shravani,Chitnis,shravani.56@gmail.com,106,0,2,1,-,p,F
Aniket,Sahasrabuddhe,aniket.36@gmail.com,100,1,2,0,-,p,M
Ved,Dixit,ved.95@gmail.com,120,1,1,1,-,p,M
Aaditri,Mahajan,aaditri.34@gmail.com,135,2,2,2,Mechanical,p,F
Sneha,Sonar,sneha.66@gmail.com,165,1,1,3,IT,p,F
Srushti,Desai,srushti.49@gmail.com,128,3,3,3,Electronics,p,F
Janhavi,Shukla,janhavi.94@gmail.com,151,1,1,1,IT,p,F
Kaushal,Chauhan,kaushal.90@gmail.com,158,0,3,0,Computer,p,M
Deven,Garg,deven.76@gmail.com,133,0,2,3,Electronics,p,M
Manasi,Ratnaparakhi,manasi.95@gmail.com,136,0,1,1,-,p,F
Madhura,Tipnis,madhura.tipnis@gmail.com,178,2,1,1,Mechanical,p,F
Samir,Joglekar,samir.joglekar@gmail.com,179,3,2,3,Electronics,p,M
Kasturi,Veerkar,kasturi.veerkar@gmail.com,109,1,2,3,Electronics,p,F
Kaustubh,Shrotri,kaustubh.shrotri@gmail.com,127,0,0,1,-,p,M
Nikhil,Dholakia,nikhil.dholakia@gmail.com,102,0,2,3,-,p,M
Nisha,Wagh,nisha.wagh@gmail.com,95,0,3,3,-,p,F
Dhriti,Jadhav,dhriti.jadhav@gmail.com,114,1,2,1,-,p,F
Rachana,Dixit,rachana.dixit@gmail.com,136,0,1,1,-,p,F
Pradeep,Khare,pradeep.khare@gmail.com,159,0,0,2,Computer,p,M
Nishad,Gupta,nishad.gupta@gmail.com,100,0,1,3,-,p,M
Vinaya,Joshi,vinaya.joshi@gmail.com,192,0,2,2,Computer,p,F
Chaitanya,Kothari,chaitanya.kothari@gmail.com,188,0,2,2,Computer,p,M
Devika,Ambedkar,devika.ambedkar@gmail.com,134,1,2,0,-,p,F
Sahil,Agashe,sahil.agashe@gmail.com,124,1,2,3,Electronics,p,M
Saili,Garg,saili.garg@gmail.com,145,0,1,1,IT,p,F
Soham,Datar,soham.datar@gmail.com,120,1,2,2,-,p,M
Vedashree,Jain,vedashree.jain@gmail.com,154,0,2,2,Computer,p,F
Aabha,Risbud,aabha.risbud@gmail.com,153,0,2,3,Computer,p,F
Vishal,Mane,vishal.mane@gmail.com,123,1,3,3,Electronics,p,M
Nihar,Shukla,nihar.shukla@gmail.com,197,3,3,3,Electronics,p,M
Pranav,Samant,pranav.samant@gmail.com,186,0,3,2,Computer,p,M
Akshat,Kanade,akshat.kanade@gmail.com,180,0,1,2,Computer,p,M
Gargi,Deshmukh,gargi.deshmukh@gmail.com,136,0,1,3,Electronics,p,F
Siddhi,Gokhale,siddhi.gokhale@gmail.com,159,0,1,1,Computer,p,F
Naresh,Sardesai,naresh.sardesai@gmail.com,100,1,0,0,-,p,M
Aadya,Shah,aadya.shah@gmail.com,192,0,1,0,Computer,p,F
Suresh,Lokhande,suresh.lokhande@gmail.com,166,1,1,1,IT,p,M
Amey,Sane,sane.20@gmail.com,189,2,1,3,Mechanical,p,M
Prathamesh,Mahajan,mahajan.25@gmail.com,150,2,2,3,Mechanical,p,M
Kaira,Roy,roy.21@gmail.com,162,0,1,0,Computer,p,F
Anandita,Shinde,shinde.22@gmail.com,164,0,0,3,Computer,p,F
Chitanya,Prakash,prakash.28@gmail.com,154,0,1,3,Computer,p,M
Mahesh,Bhalerao,bhalerao.29@gmail.com,123,1,2,1,-,p,M
Spruha,Singh,singh.35@gmail.com,138,0,1,1,-,p,F
Arohi,Sardesai,sardesai.30@gmail.com,149,1,1,2,IT,p,F
Devraj,Iyer,iyer.38@gmail.com,131,1,2,2,-,p,M
Akanksha,Gokhale,gokhale.20@gmail.com,122,0,0,0,-,p,F
Namita,Ambedkar,ambedkar.35@gmail.com,108,3,0,3,Electronics,p,F
Ajay,Singh,singh.27@gmail.com,102,0,1,3,-,p,M
Ketaki,Mane,mane.38@gmail.com,100,2,0,1,-,p,F
Gaurav,Sahasrabuddhe,sahasrabuddhe.36@gmail.com,144,1,3,1,IT,p,M
Jayesh,Joshi,joshi.37@gmail.com,68,3,1,1,-,p,M
Ayush,Ratnaparakhi,ratnaparakhi.37@gmail.com,190,0,3,0,Computer,p,M
Bhoomika,Dixit,dixit.25@gmail.com,123,0,2,1,-,p,F
Sakshee,Shahane,shahane.32@gmail.com,144,1,2,2,IT,p,F
Ruta,Acharya,acharya.34@gmail.com,136,0,1,3,Electronics,p,F
Sanjay,Shroff,shroff.39@gmail.com,109,1,0,2,-,p,M
Rupali,Modak,modak.26@gmail.com,121,0,1,0,-,p,F
Manav,Chandekar,chandekar.27@gmail.com,156,0,3,1,Computer,p,M
Prachi,Lele,lele.40@gmail.com,155,0,2,3,Computer,p,F
Aman,Jha,jha.21@gmail.com,178,0,3,3,Computer,p,M
Pratham,Chitnis,chitnis.36@gmail.com,189,2,1,2,Mechanical,p,M
Palak,Amritkar,amritkar.30@gmail.com,198,1,0,2,IT,p,F
Ritvik,Dalal,dalal.25@gmail.com,122,0,3,3,Electronics,p,M
Reyansh,Sihna,sihna.36@gmail.com,98,1,2,2,-,p,M
Poornima,Athavle,athavle.38@gmail.com,45,0,2,3,-,p,F
Sampada,Agashe,sampada.agashe@gmail.com,76,0,1,1,-,p,F
Gayatree,Kamat,gayatree.kamat@gmail.com,93,0,1,2,-,p,F
Mayra,Sawant,mayra.sawant@gmail.com,122,2,2,2,-,p,F
Rucha,Joglekar,rucha.joglekar@gmail.com,156,3,2,3,Electronics,p,F
Kunal,Agarwal,kunal.agarwal@gmail.com,188,1,0,3,IT,p,M
Aastha,Kate,aastha.kate@gmail.com,192,0,2,3,Computer,p,F
Parth,Sharma,parth.sharma@gmail.com,113,0,1,1,-,p,M
Samar,Shinde,samar.shinde@gmail.com,134,0,2,0,-,p,M
Vaishnavee,Surve,vaishnavee.surve@gmail.com,130,1,1,1,-,p,F
Mandar,Bhise,mandar.bhise@gmail.com,196,0,0,2,Computer,p,M
Tejas,Shambharkar,tejas.shambharkar@gmail.com,84,0,1,3,-,p,M
Vihaan,Mali,vihaan.mali@gmail.com,143,0,2,3,Mechanical,p,M
Anvi,Kokane,anvi.kokane@gmail.com,80,0,2,1,-,p,F
Mahadev,Bhadvekar,mahadev.bhadvekar@gmail.com,99,0,2,0,-,p,M
Ishani,Vyas,ishani.vyas@gmail.com,139,1,1,3,Electronics,p,F
Avneesh,Joshi,avneesh.joshi@gmail.com,111,1,2,1,-,p,M
Anuj,Singh,anuj.singh@gmail.com,105,0,1,1,-,p,M
Kashvi,Gosavi,kashvi.gosavi@gmail.com,165,1,3,3,IT,p,F
Maitreyi,Dave,maitreyi.dave@gmail.com,162,0,1,3,Computer,p,F
Geetika,Kage,geetika.kage@gmail.com,122,0,3,1,Electronics,p,F
Atharv,Patel,atharv.patel@gmail.com,109,1,2,3,Electronics,p,M
Neel,Shah,neel.shah@gmail.com,86,3,1,3,-,p,M
Janhavi,Lalge,janhavi.lalge@gmail.com,83,0,1,1,-,p,F
Riya,Sanghvi,riya.sanghvi@gmail.com,163,0,2,1,Computer,p,F
Nikhil,Modak,nikhil.modak@gmail.com,139,0,2,2,Mechanical,p,M
Neha,Amin,neha.amin@gmail.com,111,0,0,3,Electronics,p,F
Nitya,Mehta,nitya.mehta@gmail.com,105,1,2,2,-,p,F
Vishal,Lele,vishal.lele@gmail.com,165,0,3,2,Computer,p,M
Mahika,Chandekar,mahika.chandekar@gmail.com,162,1,2,0,IT,p,F
Ojaswini,Kamble,ojaswini.kamble@gmail.com,122,2,1,3,Electronics,p,F
Dipika,Ranavare,dipika.ranavare@gmail.com,109,2,0,1,-,p,F
Latika,Mishra,latika.mishra@gmail.com,145,0,1,2,IT,p,F
Arjun,Chandavale,arjun.chandavale@gmail.com,167,0,2,2,Computer,p,M
Ganesh,Samant,ganesh.samant@gmail.com,120,0,2,3,Electronics,p,M
Gauri,Gupte,gauri.gupte@gmail.com,135,1,2,3,Electronics,p,F
Sejal,Desai,sejal.desai@gmail.com,165,0,2,3,Computer,p,F
Akash,Bhede,akash.bhede@gmail.com,128,1,1,2,-,p,M
Nimish,Ambedkar,nimish.ambedkar@gmail.com,151,1,2,2,IT,p,M
Vaidehi,Pandya,vaidehi.pandya@gmail.com,158,0,2,3,Computer,p,F
Sheetal,Kakade,sheetal.kakade@gmail.com,133,3,2,1,Electronics,p,F
Siddharth,Apte,siddharth.apte@gmail.com,136,0,3,0,Electronics,p,M
Sapna,Wagh,sapna.wagh@gmail.com,178,2,3,0,Mechanical,p,F
Shreyansh,Mahajani,shreyansh.mahajani@gmail.com,179,1,3,1,IT,p,M
Varun,Bera,varun.bera@gmail.com,109,3,1,3,Electronics,p,M
Ketan,Sonar,ketan.sonar@gmail.com,127,0,1,3,Electronics,p,M
Akshay,Chitnis,akshay.chitnis@gmail.com,102,0,1,0,-,p,M
Manish,Rajgopalan,manish.rajgopalan@gmail.com,95,1,0,3,-,p,M
Dilip,Shah,dilip.shah@gmail.com,114,0,1,3,Electronics,p,M
Soniya,Rathod,soniya.rathod@gmail.com,136,1,1,1,-,p,F
Zara,Khanna,zara.khanna@gmail.com,159,0,1,1,Computer,p,F
Diptee,Raut,diptee.raut@gmail.com,100,0,2,2,-,p,F
Bhargav,Salvi,bhargav.salvi@gmail.com,192,0,1,2,Computer,p,M
Rhea,Khanvilkar,rhea.khanvilkar@gmail.com,188,0,0,0,Computer,p,F
Shubhankar,Athale,shubhankar.athale@gmail.com,134,2,1,3,Electronics,p,M
Kajal,Nene,kajal.nene@gmail.com,124,1,2,3,Electronics,p,F
Rohit,Thakur,rohit.thakur@gmail.com,145,0,1,1,IT,p,M
Kalpesh,Manjarekar,kalpesh.manjarekar@gmail.com,120,0,1,1,-,p,M
Ankur,Barve,ankur.barve@gmail.com,154,0,2,1,Computer,p,M
Mihir,Ambekar,mihir.ambekar@gmail.com,153,3,0,0,Electronics,p,M
Ruturaj,Patil,ruturaj.patil@gmail.com,123,0,0,1,-,p,M
Tanya,Khare,tanya.khare@gmail.com,167,0,1,2,Computer,p,F
Amit,Dharap,amit.dharap@gmail.com,134,2,0,3,Electronics,p,M
Shruti,Datta,shruti.datta@gmail.com,189,1,3,2,IT,p,F
Dhanashree,Modak,dhanashree.modak@gmail.com,175,2,1,0,Mechanical,p,F
Sumedha,Bendre,sumedha.bendre@gmail.com,148,0,3,1,Electronics,p,F
Nishant,Mane,nishant.mane@gmail.com,174,1,2,3,IT,p,M
Ashish,Laddha,ashish.laddha@gmail.com,147,0,2,3,Mechanical,p,M
Hrishikesh,Kanade,hrishikesh.kanade@gmail.com,142,0,1,2,Mechanical,p,M
Rasikaa,Gadkari,rasikaa.gadkari@gmail.com,181,0,0,2,Computer,p,F
Chinmay,Jagdale,chinmay.jagdale@gmail.com,139,1,1,3,Electronics,p,M
Pranjal,Dube,pranjal.dube@gmail.com,142,3,3,2,Electronics,p,F
Chetan,Kanitkar,chetan.kanitkar@gmail.com,198,0,2,3,Computer,p,M
Abhilasha,Malpure,abhilasha.malpure@gmail.com,188,0,3,1,Computer,p,F
Sushant,Sahasrabuddhe,sushant.sahasrabuddhe@gmail.com,198,2,1,2,Mechanical,p,M
Nitya,Thakare,nitya.thakare@gmail.com,140,0,0,2,Mechanical,p,F
Sameer,Londhe,sameer.londhe@gmail.com,180,0,3,3,Computer,p,F
Pushkar,Karve,pushkar.karve@gmail.com,130,0,2,3,Electronics,p,F
Archis,Keskar,archis.keskar@gmail.com,98,1,2,3,-,p,M
Irawati,Mandke,irawati.mandke@gmail.com,109,1,1,1,-,p,F
Archana,Mudle,archana.mudle@gmail.com,166,2,1,0,Mechanical,p,F
Ramesh,Kamble,ramesh.kamble@gmail.com,141,1,2,1,Mechanical,p,M
Khyati,Vaze,khyati.vaze@gmail.com,142,3,2,2,Electronics,p,F
Riddhima,Paranjape,riddhima.paranjape@gmail.com,156,1,0,3,IT,p,F
Ameya,Mali,ameya.mali@gmail.com,128,0,2,3,Electronics,p,M
Saloni,Rege,saloni.rege@gmail.com,157,0,1,1,Computer,p,F
Shreyas,Sahasrabuddhe,shreyas.sahasrabuddhe@gmail.com,144,0,2,0,Mechanical,p,M
Pranil,Risbud,pranil.risbud@gmail.com,160,2,1,3,Mechanical,p,M
Vedant,Samant,vedant.samant@gmail.com,112,3,0,1,Electronics,p,M
Rohini,Shinde,rohini.shinde@gmail.com,106,1,1,1,-,p,F
Yash,Sarkar,yash.sarkar@gmail.com,100,0,2,3,-,p,M
Rucha,Mujumdar,rucha.mujumdar@gmail.com,120,0,2,3,Electronics,p,F
Tushar,Joshi,tushar.joshi@gmail.com,135,0,2,1,Mechanical,p,M
Aditya,Sane,aditya.sane@gmail.com,165,1,1,3,IT,p,M
Amrita,Khatkale,amrita.khatkale@gmail.com,128,0,2,3,Electronics,p,F
Preshit,Singh,preshit.singh@gmail.com,151,0,1,1,Computer,p,M
Vrushali,Shukla,vrushali.shukla@gmail.com,158,0,3,1,Computer,p,F
Pooja,Nayadu,pooja.nayadu@gmail.com,133,0,1,2,-,p,F
Rewa,Malhotra,rewa.malhotra@gmail.com,136,0,3,3,Electronics,p,F
Devashri,Kanvinde,devashri.kanvinde@gmail.com,178,1,2,2,IT,p,F
Pritesh,Kapoor,pritesh.kapoor@gmail.com,179,1,1,2,IT,p,M
Suman,Patel,suman.patel@gmail.com,109,0,1,0,-,p,F
Rohit,Nanavare,rohit.nanavare@gmail.com,127,1,2,3,Electronics,p,M
Asmi,Lahane,asmi.lahane@gmail.com,102,0,2,1,-,p,F
Gayatri,Tilak,gayatri.tilak@gmail.com,95,0,0,2,-,p,F
Shubhangi,Kate,shubhangi.kate@gmail.com,114,1,2,2,-,p,F
Trupti,Gosavi,trupti.gosavi@gmail.com,136,3,3,3,Electronics,p,F
Diksha,Nene,diksha.nene@gmail.com,159,0,2,3,Computer,p,F
Janaki,Samant,janaki.samant@gmail.com,100,0,1,3,-,p,F
Swapnil,Athale,swapnil.athale@gmail.com,192,0,0,2,Computer,p,M
Dynanesh,Dutt,dynanesh.dutt@gmail.com,188,0,1,2,Computer,p,M
Yuga,Tendulkar,yuga.tendulkar@gmail.com,134,1,2,3,Electronics,p,F
Alok,Shukla,alok.shukla@gmail.com,124,0,2,1,-,p,M
Rujuta,Zende,rujuta.zende@gmail.com,145,1,2,0,IT,p,F
Komal,Naidu,komal.naidu@gmail.com,120,2,2,0,-,p,F
Ashwini,Wagle,ashwini.wagle@gmail.com,154,2,1,1,Mechanical,p,F
Alia,Sihna,alia.sihna@gmail.com,153,0,2,3,Computer,p,F
Pradyumna,Keskar,pradyumna.keskar@gmail.com,123,0,2,3,Electronics,p,M
Nidhi,Sawant,nidhi.sawant@gmail.com,197,0,2,0,Computer,p,F
Bhakti,Rathod,bhakti.rathod@gmail.com,186,1,3,3,IT,p,F
Prithviraj,Barve,prithviraj.barve@gmail.com,180,0,3,3,Computer,p,M
Sanika,Mokashi,sanika.mokashi@gmail.com,136,1,3,1,Electronics,p,F
Rahul,Natu,rahul.natu@gmail.com,159,1,1,1,IT,p,M
Sandesh,Shete,sandesh.shete@gmail.com,100,0,1,2,-,p,M
Poonam,Kane,poonam.kane@gmail.com,192,3,1,2,Electronics,p,F
